"id","HomeTeam","AwayTeam","Res","Prob"
2907,"Lechia","Arka","W",0.2511
3004,"Korona","Bruk-Bet","R",0.2561
2903,"Jagiellonia","Cracovia","W",0.2591
2902,"Œl¹sk","Górnik","W",0.2612
3006,"Piast","Jagiellonia","D",0.4278
2906,"Legia","Korona","W",0.2269
2904,"Wis³a P","Lech","R",0.2594
3007,"Pogoñ","Lechia","W",0.3178
3002,"Cracovia","Legia","W",0.3466
2905,"Bruk-Bet","Piast","D",0.5219
2901,"Ruch","Pogoñ","W",0.3079
3005,"Lech","Ruch","R",0.2549
3003,"Górnik","Wis³a K","W",0.2835
3001,"Arka","Wis³a P","D",0.4702
2908,"Wis³a K","Zag³êbie","R",0.2616
3008,"Zag³êbie","Œl¹sk","D",0.4104
2907,"Lechia","Arka","D",0.5052
3004,"Korona","Bruk-Bet","W",0.2786
2903,"Jagiellonia","Cracovia","D",0.4889
2902,"Œl¹sk","Górnik","D",0.4821
2906,"Legia","Korona","D",0.5253
2904,"Wis³a P","Lech","D",0.4502
3007,"Pogoñ","Lechia","D",0.4145
3002,"Cracovia","Legia","R",0.261
2905,"Bruk-Bet","Piast","W",0.2272
3005,"Lech","Ruch","D",0.4304
2908,"Wis³a K","Zag³êbie","W",0.3021
3008,"Zag³êbie","Œl¹sk","W",0.3227
3006,"Piast","Jagiellonia","W",0.3088
2906,"Legia","Korona","R",0.2478
2904,"Wis³a P","Lech","W",0.2904
2905,"Bruk-Bet","Piast","R",0.2509
3003,"Górnik","Wis³a K","D",0.4508
3001,"Arka","Wis³a P","R",0.2482
2908,"Wis³a K","Zag³êbie","D",0.4363
3004,"Korona","Bruk-Bet","D",0.4653
3006,"Piast","Jagiellonia","R",0.2634
3007,"Pogoñ","Lechia","R",0.2677
2901,"Ruch","Pogoñ","D",0.4305
3005,"Lech","Ruch","W",0.3147
3001,"Arka","Wis³a P","W",0.2816
3002,"Cracovia","Legia","D",0.3924
2901,"Ruch","Pogoñ","R",0.2616
3008,"Zag³êbie","Œl¹sk","R",0.2669
3003,"Górnik","Wis³a K","R",0.2657
2903,"Jagiellonia","Cracovia","R",0.252
2902,"Œl¹sk","Górnik","R",0.2567
2907,"Lechia","Arka","R",0.2437
